location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#severity+v_ipc,#period+v_ipc,#affected+num,#affected+pct,#date+start,#date+end
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,3+,first projection,338963,0.57,2025-03-01,2025-06-30
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,1,first projection,119689,0.2,2025-03-01,2025-06-30
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,2,first projection,139794,0.23,2025-03-01,2025-06-30
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,3,first projection,189351,0.32,2025-03-01,2025-06-30
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,4,first projection,149612,0.25,2025-03-01,2025-06-30
HTI,True,True,Grand-Anse,,HT08,Grande'Anse,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Petion-Ville,,,,,,1,all,first projection,196207,1.0,2025-03-01,2025-06-30
HTI,True,True,Petion-Ville,,,,,,1,3+,first projection,78483,0.4,2025-03-01,2025-06-30
HTI,True,True,Petion-Ville,,,,,,1,1,first projection,58862,0.3,2025-03-01,2025-06-30
HTI,True,True,Petion-Ville,,,,,,1,2,first projection,58862,0.3,2025-03-01,2025-06-30
HTI,True,True,Petion-Ville,,,,,,1,3,first projection,49052,0.25,2025-03-01,2025-06-30
HTI,True,True,Petion-Ville,,,,,,1,4,first projection,29431,0.15,2025-03-01,2025-06-30
HTI,True,True,Petion-Ville,,,,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Cite Soleil,,,,,,1,all,first projection,290666,1.0,2025-03-01,2025-06-30
HTI,True,True,Cite Soleil,,,,,,1,3+,first projection,145333,0.5,2025-03-01,2025-06-30
HTI,True,True,Cite Soleil,,,,,,1,1,first projection,58133,0.2,2025-03-01,2025-06-30
HTI,True,True,Cite Soleil,,,,,,1,2,first projection,87200,0.3,2025-03-01,2025-06-30
HTI,True,True,Cite Soleil,,,,,,1,3,first projection,87200,0.3,2025-03-01,2025-06-30
HTI,True,True,Cite Soleil,,,,,,1,4,first projection,58133,0.2,2025-03-01,2025-06-30
HTI,True,True,Cite Soleil,,,,,,1,5,first projection,0,0.0,2025-03-01,2025-06-30
HTI,True,True,Carrefour,,,,,,1,all,first projection,260280,1.0,2025-03-01,2025-06-30
HTI,True,True,Carrefour,,,,,,1,3+,first projection,104112,0.4,2025-03-01,2025-06-30
HTI,True,True,Carrefour,,,,,,1,1,first projection,78084,0.3,2025-03-01,2025-06-30
HTI,True,True,Carrefour,,,,,,1,2,first projection,78084,0.3,2025-03-01,2025-06-30
HTI,True,True,Carrefour,,,,,,1,3,first projection,78084,0.3,2025-03-01,2025-06-30
HTI,True,True,Carrefour,,,,,,1,4,first projection,26028,0.1,2025-03-01,2025-06-30
